station_id,station_agency_id,beach_name_id,station_name,station_description,agency_station_identifier,beach_name,beach_type,nearest_city,water_body_name,water_body_class,water_body_type,watershed_name,ab411_beach,usepa_id,beach_access,county,county_name,station_status,beach_status,agency_name,agency_jurisdiction,regional_board,regional_board_name,station_lat,station_lon,coordinate_source,beach_upper_lat,beach_upper_lon,beach_lower_lat,beach_lower_lon,beach_mid_lat,beach_mid_lon,valid_station_point
277,23,413,CRK Agua Hedionda,Agua Hedionda Lagoon,CRK Agua Hedionda,Agua Hedionda Lagoon,UNKNOWN,Del Mar,Pacific Ocean,Saltwater,"Sound, Bay, or Inlet",Escondido Creek-San Luis Rey River,No,CA953023,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.144612,-117.326613,beach_midpoint,33.147393,-117.333249,33.141831,-117.319977,33.144612,-117.326613,True
385,23,413,EH-450,Snug Harbor swimming area,EH-450,Agua Hedionda Lagoon,UNKNOWN,Del Mar,Pacific Ocean,Saltwater,"Sound, Bay, or Inlet",Escondido Creek-San Luis Rey River,No,CA953023,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.145,-117.3409,station_upper,33.147393,-117.333249,33.141831,-117.319977,33.144612,-117.326613,True
386,23,413,EH-452,Magdalena Ecke YMCA Park,EH-452,Agua Hedionda Lagoon,UNKNOWN,Del Mar,Pacific Ocean,Saltwater,"Sound, Bay, or Inlet",Escondido Creek-San Luis Rey River,No,CA953023,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.144618,-117.33729,station_upper,33.147393,-117.333249,33.141831,-117.319977,33.144612,-117.326613,True
472,23,413,LAG Agua Hedionda,Agua Hedionda Lagoon,LAG Agua Hedionda,Agua Hedionda Lagoon,UNKNOWN,Del Mar,Pacific Ocean,Saltwater,"Sound, Bay, or Inlet",Escondido Creek-San Luis Rey River,No,CA953023,PUBLIC,San Diego,San Diego,Inactive,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.139292,-117.329032,station_upper,33.147393,-117.333249,33.141831,-117.319977,33.144612,-117.326613,True
88,23,420,All_SanDiego_County_Beaches,All_SanDiego_County_Beaches,All_SanDiego_County_Beaches,All_SanDiego_County,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,,Yes,,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.3869,-117.596,station_upper,33.3869,-117.596,32.5344,-117.124,32.96065,-117.36,True
179,23,382,BC-010,Playas Blanca MEX,BC-010,"Baja California, MEXICO",UNKNOWN,Tijuana,Pacific Ocean,Saltwater,Open Coast,,Yes,CA839312,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,No RB,,32.4191,-117.0973,station_upper,,,,,,,True
180,23,382,BC-020,El Vigia MEX,BC-020,"Baja California, MEXICO",UNKNOWN,Tijuana,Pacific Ocean,Saltwater,Open Coast,,Yes,CA839312,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,No RB,,32.4987,-117.123,station_upper,,,,,,,True
181,23,382,BC-030,Playas De Tijuana MEX,BC-030,"Baja California, MEXICO",UNKNOWN,Tijuana,Pacific Ocean,Saltwater,Open Coast,,Yes,CA839312,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,No RB,,32.5257,-117.124,station_upper,,,,,,,True
455,23,64,IB-010,Border Fence N side,IB-010,Border Field State Park,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,Cottonwood Creek-Tijuana River,No,CA809706,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.53595,-117.1243,station_upper,32.55282,-117.127708,32.534367,-117.124197,32.5435935,-117.1259525,True
456,23,64,IB-020,Monument Rd.,IB-020,Border Field State Park,UNKNOWN,San Diego,Pacific Ocean,Saltwater,Open Coast,Cottonwood Creek-Tijuana River,No,CA809706,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,32.543409572,-117.125227806,station_upper,32.55282,-117.127708,32.534367,-117.124197,32.5435935,-117.1259525,True
583,23,364,OC-022,Loma Alta Creek oultet,OC-022,Buccaneer Beach,UNKNOWN,Oceanside,Pacific Ocean,Saltwater,Open Coast,Escondido Creek-San Luis Rey River,No,CA976061,PUBLIC,San Diego,San Diego,Active,Active,County of San Diego Department of Environmental Health,County,RB9,San Diego,33.1765,-117.3696,station_upper,33.176962,-117.370063,33.17577,-117.368925,33.176366,-117.369494,True
