date,beach_event_id,start_date,end_date,start_date_clipped,end_date_clipped,duration_days_clean,analysis_period,post_emergency,study_group,impact_level,advisory_type_clean,advisory_cause_clean,source_clean,cause_group,beach_name_clean,station_id,station_name_clean,station_lat,station_lon,beach_lat,beach_lon,active_advisory_day,closure_active_day,posting_active_day,rain_advisory_event,bacteria_related_event,tijuana_river_related_event,sewage_infrastructure_event,sewage_related_event,severity_score,enterococcus_flag,fecal_coliform_flag,total_coliform_flag,ecoli_flag,end_date_was_missing
2023-01-01,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-02,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-03,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-04,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-05,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-06,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-07,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-08,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-09,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-10,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-11,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-12,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-13,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-14,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-15,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-16,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
2023-01-17,1,2023-01-01,2023-01-26,2023-01-01,2023-01-26,25,Pre-emergency,0,Comparison Beaches,1,Posting,Bacterial Standards Violation,Unknown,Bacteria-related,Tourmaline Surfing Park,411,FM-030,32.805,-117.2628,32.8079,-117.2662,1,0,1,0,1,0,0,0,1,1,0,0,0,False
