date,active_advisory_records,active_closure_records,active_posting_records,active_rain_advisory_records,active_bacteria_related_records,active_tijuana_river_related_records,active_sewage_infrastructure_records,active_sewage_related_records,active_enterococcus_records,active_fecal_coliform_records,active_total_coliform_records,active_ecoli_records,daily_severity_score,max_severity_score,unique_beaches_impacted,unique_stations_impacted,new_advisory_records,new_closure_records,new_posting_records,new_rain_advisory_records,new_bacteria_related_records,new_tijuana_river_related_records,new_sewage_related_records,active_records_comparison_beaches,active_records_other_san_diego_beaches,active_records_south_bay_tijuana_river_impact,closure_records_comparison_beaches,closure_records_other_san_diego_beaches,closure_records_south_bay_tijuana_river_impact,severity_score_comparison_beaches,severity_score_other_san_diego_beaches,severity_score_south_bay_tijuana_river_impact,unique_beaches_comparison_beaches,unique_beaches_other_san_diego_beaches,unique_beaches_south_bay_tijuana_river_impact,any_active_advisory,any_active_closure,any_bacteria_related_activity,any_tijuana_river_related_activity,any_sewage_related_activity
2023-01-01,6,3,2,1,5,3,0,3,5,0,0,0,8,2,6,6,6,3,2,1,5,3,3,1,1,4,0,0,3,1,0,7,1,1,4,True,True,True,True,True
2023-01-02,7,4,2,1,6,4,0,4,6,0,0,0,10,2,6,6,1,1,0,0,1,1,1,1,1,5,0,0,4,1,0,9,1,1,4,True,True,True,True,True
2023-01-03,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-04,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-05,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-06,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-07,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-08,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-09,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-10,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,1,0,0,1,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-11,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-12,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-13,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-14,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-15,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True
2023-01-16,8,6,1,1,5,4,2,6,5,0,0,0,13,2,8,8,2,2,0,0,0,0,2,1,3,4,0,2,4,1,4,8,1,3,4,True,True,True,True,True
2023-01-17,8,6,1,1,5,4,2,6,5,0,0,0,13,2,8,8,0,0,0,0,0,0,0,1,3,4,0,2,4,1,4,8,1,3,4,True,True,True,True,True
2023-01-18,8,6,1,1,5,4,2,6,5,0,0,0,13,2,8,8,0,0,0,0,0,0,0,1,3,4,0,2,4,1,4,8,1,3,4,True,True,True,True,True
2023-01-19,8,6,1,1,5,4,2,6,5,0,0,0,13,2,8,8,0,0,0,0,0,0,0,1,3,4,0,2,4,1,4,8,1,3,4,True,True,True,True,True
2023-01-20,8,6,1,1,5,4,2,6,5,0,0,0,13,2,8,8,0,0,0,0,0,0,0,1,3,4,0,2,4,1,4,8,1,3,4,True,True,True,True,True
2023-01-21,7,6,1,0,5,4,2,6,5,0,0,0,13,2,7,7,0,0,0,0,0,0,0,1,2,4,0,2,4,1,4,8,1,2,4,True,True,True,True,True
2023-01-22,6,5,1,0,5,4,1,5,5,0,0,0,11,2,6,6,0,0,0,0,0,0,0,1,1,4,0,1,4,1,2,8,1,1,4,True,True,True,True,True
2023-01-23,10,5,5,0,9,4,1,5,9,2,2,0,15,2,7,10,4,0,4,0,4,0,0,1,4,5,0,1,4,1,5,9,1,2,5,True,True,True,True,True
2023-01-24,12,4,8,0,12,4,0,4,12,2,2,0,16,2,10,12,3,0,3,0,3,0,0,1,6,5,0,0,4,1,6,9,1,5,5,True,True,True,True,True
2023-01-25,11,4,7,0,11,4,0,4,11,1,1,0,15,2,11,11,1,0,1,0,1,0,0,1,5,5,0,0,4,1,5,9,1,5,5,True,True,True,True,True
2023-01-26,9,4,5,0,9,4,0,4,9,0,0,0,13,2,9,9,2,0,2,0,2,0,0,2,3,4,0,0,4,2,3,8,2,3,4,True,True,True,True,True
2023-01-27,8,4,4,0,8,4,0,4,8,0,0,0,12,2,8,8,0,0,0,0,0,0,0,1,3,4,0,0,4,1,3,8,1,3,4,True,True,True,True,True
