date,active_advisory_records,active_closure_records,active_posting_records,active_rain_advisory_records,active_bacteria_related_records,active_tijuana_river_related_records,active_sewage_infrastructure_records,active_sewage_related_records,active_enterococcus_records,active_fecal_coliform_records,active_total_coliform_records,active_ecoli_records,daily_severity_score,max_severity_score,unique_beaches_impacted,unique_stations_impacted,new_advisory_records,new_closure_records,new_posting_records,new_rain_advisory_records,new_bacteria_related_records,new_tijuana_river_related_records,new_sewage_related_records,active_records_comparison_beaches,active_records_other_san_diego_beaches,active_records_south_bay_tijuana_river_impact,closure_records_comparison_beaches,closure_records_other_san_diego_beaches,closure_records_south_bay_tijuana_river_impact,severity_score_comparison_beaches,severity_score_other_san_diego_beaches,severity_score_south_bay_tijuana_river_impact,unique_beaches_comparison_beaches,unique_beaches_other_san_diego_beaches,unique_beaches_south_bay_tijuana_river_impact,any_active_advisory,any_active_closure,any_bacteria_related_activity,any_tijuana_river_related_activity,any_sewage_related_activity,rain_mm,rain_lag1_mm,rain_3day_mm,rain_7day_mm,rainy_day,start_datetime,end_datetime,interval_hours,year,month,month_name,site_id,site_name,parameter,source,discharge_m3s,discharge_cfs,discharge_mgd,grade_code,interpolation_type,high_flow_75th,high_flow_90th,extreme_flow_95th,high_flow_day,flow_category,flow_lag1_m3s,flow_3day_mean_m3s,flow_7day_mean_m3s,high_flow_1day_window,high_flow_3day_window,high_flow_7day_window,days_from_emergency_declaration,post_emergency,emergency_reference_window,h2s_overlap_period,analysis_period
2023-01-01,6,3,2,1,5,3,0,3,5,0,0,0,8,2,6,6,6,3,2,1,5,3,3,1,1,4,0,0,3,1,0,7,1,1,4,True,True,True,True,True,27.576860427856445,,27.576860427856445,27.576860427856445,True,2023-01-01,2023-01-02,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,78.3,2765.1410100000003,1787.15835,-1.0,2.0,1,1,1,1,Extreme flow,,78.3,78.3,1,1,1,-177,0,0,0,Before emergency reference window
2023-01-02,7,4,2,1,6,4,0,4,6,0,0,0,10,2,6,6,1,1,0,0,1,1,1,1,1,5,0,0,4,1,0,9,1,1,4,True,True,True,True,True,1.5409725904464722,27.576860427856445,29.11783301830292,29.11783301830292,False,2023-01-02,2023-01-03,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,9.46,334.07706200000007,215.91977000000003,-1.0,2.0,1,1,0,1,Very high flow,78.3,43.88,43.88,1,1,1,-176,0,0,0,Before emergency reference window
2023-01-03,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,2.88668179512024,1.5409725904464722,32.00451481342316,32.00451481342316,True,2023-01-03,2023-01-04,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,5.09,179.751823,116.176705,-1.0,2.0,1,0,0,1,High flow,9.46,30.95,30.95,1,1,1,-175,0,0,0,Before emergency reference window
2023-01-04,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,3.6001999378204346,2.88668179512024,8.027854323387146,35.60471475124359,True,2023-01-04,2023-01-05,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,3.52,124.307744,80.34224,-1.0,2.0,1,0,0,1,High flow,5.09,6.023333333333333,24.0925,1,1,1,-174,0,0,0,Before emergency reference window
2023-01-05,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,0.7556409239768982,3.6001999378204346,7.242522656917573,36.36035567522049,False,2023-01-05,2023-01-06,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,3.76,132.783272,85.82012,-1.0,2.0,1,0,0,1,High flow,3.52,4.123333333333333,20.026,1,1,1,-173,0,0,0,Before emergency reference window
2023-01-06,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,3.7218496799468994,0.7556409239768982,8.077690541744232,40.08220535516739,True,2023-01-06,2023-01-07,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,2.7,95.34969,61.62615,-1.0,2.0,1,0,0,1,High flow,3.76,3.3266666666666667,17.138333333333332,1,1,1,-172,0,0,0,Before emergency reference window
2023-01-07,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,0.0,3.7218496799468994,4.477490603923798,40.08220535516739,False,2023-01-07,2023-01-08,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,2.85,100.646895,65.049825,-1.0,2.0,1,0,0,1,High flow,2.7,3.103333333333333,15.097142857142856,1,1,1,-171,0,0,0,Before emergency reference window
2023-01-08,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,0.0,0.0,3.7218496799468994,12.505344927310944,False,2023-01-08,2023-01-09,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,2.4,84.75528,54.7788,-1.0,2.0,0,0,0,0,Normal / lower flow,2.85,2.6500000000000004,4.254285714285714,1,1,1,-170,0,0,0,Before emergency reference window
2023-01-09,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,0.0,0.0,0.0,10.964372336864471,False,2023-01-09,2023-01-10,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,2.26,79.811222,51.58337,-1.0,2.0,0,0,0,0,Normal / lower flow,2.4,2.5033333333333334,3.225714285714285,0,1,1,-169,0,0,0,Before emergency reference window
2023-01-10,6,4,1,1,5,4,0,4,5,0,0,0,9,2,6,6,1,0,0,1,0,0,0,1,1,4,0,0,4,1,0,8,1,1,4,True,True,True,True,True,1.5515453815460205,0.0,1.5515453815460205,9.629235923290253,False,2023-01-10,2023-01-11,24.0,2023,1,January,11013300,Tijuana River At International Boundary,Discharge,USIBWC Water Data Portal,6.64,234.489608,151.55468,-1.0,2.0,1,1,0,1,Very high flow,2.26,3.766666666666666,3.447142857142857,1,1,1,-168,0,0,0,Before emergency reference window
