date,location_clean,station_name_clean,first_datetime_local,last_datetime_local,total_records,valid_h2s_records,missing_or_invalid_records,mean_h2s_ppb,median_h2s_ppb,max_h2s_ppb,min_h2s_ppb,elevated_h2s_events,orange_h2s_events,exceedance_200ppb_events,nighttime_records,elevated_h2s_rate,orange_h2s_rate,any_elevated_h2s_day,any_orange_h2s_day
2024-09-12,SAN YSIDRO,San Ysidro - Fire Station #29,2024-09-12 11:00:00,2024-09-12 11:00:00,1,0,1,,,,,0,0,0,0,,,False,False
2024-09-25,SAN YSIDRO,San Ysidro - Fire Station #29,2024-09-25 14:00:00,2024-09-25 23:00:00,10,10,0,2.0700000000000003,0.15000000000000002,10.0,0.1,2,0,0,4,0.2,0.0,True,False
2024-09-26,SAN YSIDRO,San Ysidro - Fire Station #29,2024-09-26 00:00:00,2024-09-26 14:00:00,15,15,0,0.12666666666666668,0.1,0.2,0.0,0,0,0,8,0.0,0.0,False,False
2024-10-12,NESTOR - BES,Nestor - Berry Elementary School,2024-10-12 06:00:00,2024-10-12 14:00:00,9,0,9,,,,,0,0,0,2,,,False,False
2024-10-12,SAN YSIDRO,San Ysidro - Fire Station #29,2024-10-12 06:00:00,2024-10-12 14:00:00,9,9,0,1.7666666666666666,1.0,6.5,0.4,1,0,0,2,0.1111111111111111,0.0,True,False
2024-10-21,SAN YSIDRO,San Ysidro - Fire Station #29,2024-10-21 17:00:09,2024-10-21 17:00:09,1,1,0,0.3,0.3,0.3,0.3,0,0,0,0,0.0,0.0,False,False
2024-10-30,NESTOR - BES,Nestor - Berry Elementary School,2024-10-30 08:00:00,2024-10-30 16:00:00,9,0,9,,,,,0,0,0,0,,,False,False
2024-10-30,SAN YSIDRO,San Ysidro - Fire Station #29,2024-10-30 07:00:00,2024-10-30 16:00:00,10,4,6,1.8,1.8,3.5,0.1,0,0,0,1,0.0,0.0,False,False
2024-11-08,NESTOR - BES,Nestor - Berry Elementary School,2024-11-08 17:00:00,2024-11-08 17:00:00,1,0,1,,,,,0,0,0,0,,,False,False
2024-11-08,SAN YSIDRO,San Ysidro - Fire Station #29,2024-11-08 19:00:00,2024-11-08 19:00:00,1,1,0,0.2,0.2,0.2,0.2,0,0,0,0,0.0,0.0,False,False
2024-11-18,NESTOR - BES,Nestor - Berry Elementary School,2024-11-18 01:00:00,2024-11-18 09:00:00,9,0,9,,,,,0,0,0,7,,,False,False
2024-11-18,SAN YSIDRO,San Ysidro - Fire Station #29,2024-11-18 00:00:00,2024-11-18 08:00:00,9,8,1,1.975,1.75,3.7,0.8,0,0,0,8,0.0,0.0,False,False
2024-11-26,NESTOR - BES,Nestor - Berry Elementary School,2024-11-26 14:00:00,2024-11-26 14:00:00,1,0,1,,,,,0,0,0,0,,,False,False
2024-11-28,NESTOR - BES,Nestor - Berry Elementary School,2024-11-28 14:00:00,2024-11-28 14:00:00,1,0,1,,,,,0,0,0,0,,,False,False
2024-11-28,SAN YSIDRO,San Ysidro - Fire Station #29,2024-11-28 11:00:00,2024-11-28 11:00:00,1,0,1,,,,,0,0,0,0,,,False,False
2024-12-07,NESTOR - BES,Nestor - Berry Elementary School,2024-12-07 00:00:00,2024-12-07 23:00:00,24,24,0,8.733333333333333,7.35,29.8,1.1,15,0,0,12,0.625,0.0,True,False
2024-12-07,SAN YSIDRO,San Ysidro - Fire Station #29,2024-12-07 00:00:00,2024-12-07 23:00:00,24,24,0,6.358333333333333,3.75,29.2,0.3,10,0,0,12,0.4166666666666667,0.0,True,False
2024-12-16,NESTOR - BES,Nestor - Berry Elementary School,2024-12-16 04:00:00,2024-12-16 21:00:00,18,18,0,5.166666666666667,4.7,12.9,0.5,9,0,0,6,0.5,0.0,True,False
2024-12-16,SAN YSIDRO,San Ysidro - Fire Station #29,2024-12-16 03:00:00,2024-12-16 20:00:00,18,17,1,2.211764705882353,2.0,4.7,0.0,0,0,0,6,0.0,0.0,False,False
2024-12-25,IB CIVIC CTR,Imperial Beach Civic Center,2024-12-25 18:00:00,2024-12-25 23:00:00,6,6,0,3.3166666666666664,3.8,6.6,0.6,1,0,0,4,0.16666666666666666,0.0,True,False
2024-12-25,NESTOR - BES,Nestor - Berry Elementary School,2024-12-25 18:00:00,2024-12-25 23:00:00,6,6,0,11.883333333333333,9.149999999999999,26.5,3.1,5,0,0,4,0.8333333333333334,0.0,True,False
2024-12-25,SAN YSIDRO,San Ysidro - Fire Station #29,2024-12-25 17:00:00,2024-12-25 23:00:00,7,5,2,1.1,0.8,2.1,0.3,0,0,0,4,0.0,0.0,False,False
2024-12-26,IB CIVIC CTR,Imperial Beach Civic Center,2024-12-26 00:00:00,2024-12-26 18:00:00,12,12,0,1.4666666666666668,1.25,3.2,0.3,0,0,0,6,0.0,0.0,False,False
2024-12-26,NESTOR - BES,Nestor - Berry Elementary School,2024-12-26 00:00:00,2024-12-26 18:00:00,13,6,7,5.566666666666666,4.699999999999999,11.2,2.7,3,0,0,6,0.5,0.0,True,False
2024-12-26,SAN YSIDRO,San Ysidro - Fire Station #29,2024-12-26 00:00:00,2024-12-26 18:00:00,12,9,3,1.088888888888889,0.3,3.9,0.0,0,0,0,5,0.0,0.0,False,False
2025-01-16,IB CIVIC CTR,Imperial Beach Civic Center,2025-01-16 03:00:00,2025-01-16 09:00:00,7,7,0,7.9142857142857155,6.3,13.4,2.8,6,0,0,5,0.8571428571428571,0.0,True,False
2025-01-16,NESTOR - BES,Nestor - Berry Elementary School,2025-01-16 03:00:00,2025-01-16 09:00:00,7,0,7,,,,,0,0,0,5,,,False,False
2025-01-16,SAN YSIDRO,San Ysidro - Fire Station #29,2025-01-16 03:00:00,2025-01-16 08:00:00,6,6,0,5.8999999999999995,7.449999999999999,8.0,1.3,4,0,0,5,0.6666666666666666,0.0,True,False
2025-01-30,IB CIVIC CTR,Imperial Beach Civic Center,2025-01-30 00:00:00,2025-01-30 23:00:00,17,17,0,3.0588235294117645,3.4,6.4,0.3,2,0,0,12,0.11764705882352941,0.0,True,False
2025-01-30,NESTOR - BES,Nestor - Berry Elementary School,2025-01-30 00:00:00,2025-01-30 23:00:00,18,18,0,3.966666666666667,3.9499999999999997,9.9,0.4,5,0,0,12,0.2777777777777778,0.0,True,False
2025-01-30,SAN YSIDRO,San Ysidro - Fire Station #29,2025-01-30 00:00:00,2025-01-30 23:00:00,18,0,18,,,,,0,0,0,12,,,False,False
2025-01-31,IB CIVIC CTR,Imperial Beach Civic Center,2025-01-31 00:00:00,2025-01-31 23:00:00,18,18,0,1.2055555555555555,0.8,3.4,0.4,0,0,0,11,0.0,0.0,False,False
2025-01-31,NESTOR - BES,Nestor - Berry Elementary School,2025-01-31 00:00:00,2025-01-31 23:00:00,17,17,0,2.0411764705882356,1.1,10.4,0.1,1,0,0,10,0.058823529411764705,0.0,True,False
2025-01-31,SAN YSIDRO,San Ysidro - Fire Station #29,2025-01-31 00:00:00,2025-01-31 23:00:00,18,0,18,,,,,0,0,0,10,,,False,False
2025-02-01,IB CIVIC CTR,Imperial Beach Civic Center,2025-02-01 00:00:00,2025-02-01 00:00:00,1,1,0,2.1,2.1,2.1,2.1,0,0,0,1,0.0,0.0,False,False
2025-02-01,NESTOR - BES,Nestor - Berry Elementary School,2025-02-01 00:00:00,2025-02-01 00:00:00,1,1,0,2.5,2.5,2.5,2.5,0,0,0,1,0.0,0.0,False,False
2025-02-16,IB CIVIC CTR,Imperial Beach Civic Center,2025-02-16 05:00:00,2025-02-16 15:00:00,11,11,0,1.5818181818181818,0.8,3.8,0.4,0,0,0,3,0.0,0.0,False,False
2025-02-16,NESTOR - BES,Nestor - Berry Elementary School,2025-02-16 05:00:00,2025-02-16 15:00:00,11,11,0,2.0272727272727273,1.5,5.0,0.4,1,0,0,3,0.09090909090909091,0.0,True,False
2025-02-16,SAN YSIDRO,San Ysidro - Fire Station #29,2025-02-16 05:00:00,2025-02-16 15:00:00,11,0,11,,,,,0,0,0,3,,,False,False
2025-04-05,IB CIVIC CTR,Imperial Beach Civic Center,2025-04-05 03:00:00,2025-04-05 11:00:00,8,8,0,2.6374999999999997,2.5,5.0,0.6,1,0,0,5,0.125,0.0,True,False
2025-04-05,NESTOR - BES,Nestor - Berry Elementary School,2025-04-05 03:00:00,2025-04-05 11:00:00,9,0,9,,,,,0,0,0,5,,,False,False
2025-05-18,IB CIVIC CTR,Imperial Beach Civic Center,2025-05-18 00:00:00,2025-05-18 08:00:00,9,9,0,1.011111111111111,1.0,1.4,0.8,0,0,0,8,0.0,0.0,False,False
2025-05-18,NESTOR - BES,Nestor - Berry Elementary School,2025-05-18 00:00:00,2025-05-18 07:00:00,8,8,0,5.512499999999999,5.15,10.5,1.5,4,0,0,8,0.5,0.0,True,False
2025-05-18,SAN YSIDRO,San Ysidro - Fire Station #29,2025-05-18 00:00:00,2025-05-18 07:00:00,8,8,0,4.3,3.95,7.5,1.6,3,0,0,8,0.375,0.0,True,False
2025-05-20,IB CIVIC CTR,Imperial Beach Civic Center,2025-05-20 00:00:00,2025-05-20 23:00:00,17,17,0,5.5,3.2,27.9,0.7,4,0,0,12,0.23529411764705882,0.0,True,False
2025-05-20,NESTOR - BES,Nestor - Berry Elementary School,2025-05-20 00:00:00,2025-05-20 23:00:00,18,18,0,32.672222222222224,7.300000000000001,233.1,2.9,10,4,1,12,0.5555555555555556,0.2222222222222222,True,True
2025-05-20,SAN YSIDRO,San Ysidro - Fire Station #29,2025-05-20 00:00:00,2025-05-20 23:00:00,17,17,0,13.035294117647059,7.0,45.5,1.6,10,2,0,11,0.5882352941176471,0.11764705882352941,True,True
2025-05-21,IB CIVIC CTR,Imperial Beach Civic Center,2025-05-21 00:00:00,2025-05-21 23:00:00,24,24,0,4.333333333333333,1.9500000000000002,19.6,0.7,5,0,0,12,0.20833333333333334,0.0,True,False
2025-05-21,NESTOR - BES,Nestor - Berry Elementary School,2025-05-21 00:00:00,2025-05-21 23:00:00,23,23,0,21.27826086956522,5.1,295.6,0.7,12,2,1,12,0.5217391304347826,0.08695652173913043,True,True
2025-05-21,SAN YSIDRO,San Ysidro - Fire Station #29,2025-05-21 00:00:00,2025-05-21 23:00:00,23,23,0,9.54782608695652,5.4,43.2,1.8,13,2,0,12,0.5652173913043478,0.08695652173913043,True,True
2025-07-08,IB CIVIC CTR,Imperial Beach Civic Center,2025-07-08 04:00:00,2025-07-08 13:00:00,10,0,10,,,,,0,0,0,4,,,False,False
2025-07-08,NESTOR - BES,Nestor - Berry Elementary School,2025-07-08 03:00:00,2025-07-08 13:00:00,11,11,0,21.072727272727274,0.7,207.4,0.5,2,1,1,5,0.18181818181818182,0.09090909090909091,True,True
2025-07-08,SAN YSIDRO,San Ysidro - Fire Station #29,2025-07-08 03:00:00,2025-07-08 13:00:00,11,0,11,,,,,0,0,0,5,,,False,False
2025-08-25,IB CIVIC CTR,Imperial Beach Civic Center,2025-08-25 23:00:00,2025-08-25 23:00:00,1,0,1,,,,,0,0,0,1,,,False,False
2025-08-25,NESTOR - BES,Nestor - Berry Elementary School,2025-08-25 21:00:00,2025-08-25 23:00:00,3,0,3,,,,,0,0,0,3,,,False,False
2025-08-25,SAN YSIDRO,San Ysidro - Fire Station #29,2025-08-25 21:00:00,2025-08-25 23:00:00,3,0,3,,,,,0,0,0,3,,,False,False
2025-08-26,IB CIVIC CTR,Imperial Beach Civic Center,2025-08-26 00:00:00,2025-08-26 04:00:00,2,0,2,,,,,0,0,0,2,,,False,False
2025-08-26,NESTOR - BES,Nestor - Berry Elementary School,2025-08-26 00:00:00,2025-08-26 02:00:00,2,0,2,,,,,0,0,0,2,,,False,False
2025-08-26,SAN YSIDRO,San Ysidro - Fire Station #29,2025-08-26 00:00:00,2025-08-26 02:00:00,2,0,2,,,,,0,0,0,2,,,False,False
