flow_window,flow_window_column,measure,column_name,high_flow_window_days,non_high_flow_window_days,high_flow_window_total_active_record_days,non_high_flow_window_total_active_record_days,high_flow_window_mean_active_record_days,non_high_flow_window_mean_active_record_days,high_flow_window_median_active_record_days,non_high_flow_window_median_active_record_days,mean_difference_high_flow_minus_non_high_flow,percent_increase_during_high_flow_window
Same-day high-flow,high_flow_day,Active advisory record-days,active_advisory_records,291,868,3471,9444,11.93,10.88,12.0,11.0,1.05,9.63
Same-day high-flow,high_flow_day,Active closure record-days,active_closure_records,291,868,1729,4276,5.94,4.93,6.0,5.0,1.02,20.61
Same-day high-flow,high_flow_day,Active posting record-days,active_posting_records,291,868,1588,5123,5.46,5.9,5.0,5.0,-0.45,-7.54
Same-day high-flow,high_flow_day,Active sewage-related record-days,active_sewage_related_records,291,868,1713,4321,5.89,4.98,6.0,5.0,0.91,18.25
Same-day high-flow,high_flow_day,Active Tijuana River-related record-days,active_tijuana_river_related_records,291,868,1546,4222,5.31,4.86,6.0,5.0,0.45,9.22
1-day high-flow window,high_flow_1day_window,Active advisory record-days,active_advisory_records,327,832,3878,9037,11.86,10.86,12.0,11.0,1.0,9.18
1-day high-flow window,high_flow_1day_window,Active closure record-days,active_closure_records,327,832,1936,4069,5.92,4.89,6.0,5.0,1.03,21.06
1-day high-flow window,high_flow_1day_window,Active posting record-days,active_posting_records,327,832,1770,4941,5.41,5.94,5.0,5.0,-0.53,-8.85
1-day high-flow window,high_flow_1day_window,Active sewage-related record-days,active_sewage_related_records,327,832,1918,4116,5.87,4.95,6.0,5.0,0.92,18.56
1-day high-flow window,high_flow_1day_window,Active Tijuana River-related record-days,active_tijuana_river_related_records,327,832,1747,4021,5.34,4.83,6.0,5.0,0.51,10.54
3-day high-flow window,high_flow_3day_window,Active advisory record-days,active_advisory_records,383,776,4513,8402,11.78,10.83,12.0,11.0,0.96,8.83
3-day high-flow window,high_flow_3day_window,Active closure record-days,active_closure_records,383,776,2252,3753,5.88,4.84,6.0,5.0,1.04,21.58
3-day high-flow window,high_flow_3day_window,Active posting record-days,active_posting_records,383,776,2071,4640,5.41,5.98,5.0,5.0,-0.57,-9.57
3-day high-flow window,high_flow_3day_window,Active sewage-related record-days,active_sewage_related_records,383,776,2233,3801,5.83,4.9,6.0,5.0,0.93,19.03
3-day high-flow window,high_flow_3day_window,Active Tijuana River-related record-days,active_tijuana_river_related_records,383,776,2056,3712,5.37,4.78,6.0,5.0,0.58,12.22
7-day high-flow window,high_flow_7day_window,Active advisory record-days,active_advisory_records,464,695,5424,7491,11.69,10.78,11.0,10.0,0.91,8.45
7-day high-flow window,high_flow_7day_window,Active closure record-days,active_closure_records,464,695,2717,3288,5.86,4.73,6.0,5.0,1.12,23.77
7-day high-flow window,high_flow_7day_window,Active posting record-days,active_posting_records,464,695,2516,4195,5.42,6.04,5.0,5.0,-0.61,-10.17
7-day high-flow window,high_flow_7day_window,Active sewage-related record-days,active_sewage_related_records,464,695,2697,3337,5.81,4.8,6.0,5.0,1.01,21.06
7-day high-flow window,high_flow_7day_window,Active Tijuana River-related record-days,active_tijuana_river_related_records,464,695,2512,3256,5.41,4.68,6.0,5.0,0.73,15.56
