comparison,beach_measure,group_1,group_2,group_1_days,group_2_days,group_1_mean,group_2_mean,mean_difference,percent_difference,mann_whitney_p_value
Rainy vs dry,Active closure record-days,Rainy days,Dry days,80,1079,6.38,5.09,1.28,25.18,p < 0.001
Rainy vs dry,Active sewage-related record-days,Rainy days,Dry days,80,1079,6.35,5.12,1.23,23.99,p < 0.001
Rainy vs dry,Active Tijuana River-related record-days,Rainy days,Dry days,80,1079,5.69,4.92,0.76,15.51,p = 0.004
Same-day high-flow vs non-high-flow,Active closure record-days,High-flow window days,Non-high-flow window days,291,868,5.94,4.93,1.02,20.61,p < 0.001
Same-day high-flow vs non-high-flow,Active sewage-related record-days,High-flow window days,Non-high-flow window days,291,868,5.89,4.98,0.91,18.25,p < 0.001
Same-day high-flow vs non-high-flow,Active Tijuana River-related record-days,High-flow window days,Non-high-flow window days,291,868,5.31,4.86,0.45,9.22,p < 0.001
1-day high-flow window vs non-high-flow,Active closure record-days,High-flow window days,Non-high-flow window days,327,832,5.92,4.89,1.03,21.06,p < 0.001
1-day high-flow window vs non-high-flow,Active sewage-related record-days,High-flow window days,Non-high-flow window days,327,832,5.87,4.95,0.92,18.56,p < 0.001
1-day high-flow window vs non-high-flow,Active Tijuana River-related record-days,High-flow window days,Non-high-flow window days,327,832,5.34,4.83,0.51,10.54,p < 0.001
3-day high-flow window vs non-high-flow,Active closure record-days,High-flow window days,Non-high-flow window days,383,776,5.88,4.84,1.04,21.58,p < 0.001
3-day high-flow window vs non-high-flow,Active sewage-related record-days,High-flow window days,Non-high-flow window days,383,776,5.83,4.9,0.93,19.03,p < 0.001
3-day high-flow window vs non-high-flow,Active Tijuana River-related record-days,High-flow window days,Non-high-flow window days,383,776,5.37,4.78,0.58,12.22,p < 0.001
7-day high-flow window vs non-high-flow,Active closure record-days,High-flow window days,Non-high-flow window days,464,695,5.86,4.73,1.12,23.77,p < 0.001
7-day high-flow window vs non-high-flow,Active sewage-related record-days,High-flow window days,Non-high-flow window days,464,695,5.81,4.8,1.01,21.06,p < 0.001
7-day high-flow window vs non-high-flow,Active Tijuana River-related record-days,High-flow window days,Non-high-flow window days,464,695,5.41,4.68,0.73,15.56,p < 0.001
