station_id,station_name,station_name_clean,beach_name,beach_name_clean,study_group,impact_level,station_lat,station_lon,active_advisory_record_days,active_closure_record_days,active_posting_record_days,active_bacteria_related_record_days,active_tijuana_river_related_record_days,active_sewage_infrastructure_record_days,active_sewage_related_record_days
88,All_SanDiego_County_Beaches,All_SanDiego_County_Beaches,All_SanDiego_County,All_SanDiego_County,Other San Diego Beaches,1,33.3869,-117.596,195,0,0,0,0,0,0
319,EH-010,EH-010,"Imperial Beach municipal beach, other","Imperial Beach municipal beach, other",South Bay / Tijuana River Impact,1,32.572665227,-117.133201012,81,0,81,70,11,0,11
319,EH-010,EH-010,"Imperial Beach municipal beach, other","Imperial Beach municipal beach, other",South Bay / Tijuana River Impact,2,32.572665227,-117.133201012,484,484,0,477,482,0,482
322,EH-030,EH-030,Imperial Beach pier area,Imperial Beach pier area,South Bay / Tijuana River Impact,1,32.57875,-117.133186,75,0,75,75,0,0,0
322,EH-030,EH-030,Imperial Beach pier area,Imperial Beach pier area,South Bay / Tijuana River Impact,2,32.57875,-117.133186,480,480,0,475,478,0,478
325,EH-050,EH-050,Coronado City beaches,Coronado City beaches,South Bay / Tijuana River Impact,1,32.68184,-117.18526,144,0,144,144,0,0,0
325,EH-050,EH-050,Coronado City beaches,Coronado City beaches,South Bay / Tijuana River Impact,2,32.68184,-117.18526,372,372,0,104,372,0,372
328,EH-060,EH-060,Coronado north beach,Coronado north beach,South Bay / Tijuana River Impact,1,32.685586,-117.194319,145,0,145,142,3,0,3
328,EH-060,EH-060,Coronado north beach,Coronado north beach,South Bay / Tijuana River Impact,2,32.685586,-117.194319,353,353,0,180,330,2,332
330,EH-070,EH-070,San Diego Bay,San Diego Bay,Other San Diego Beaches,1,32.69012298,-117.164403749,383,0,383,383,0,0,0
330,EH-070,EH-070,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.69012298,-117.164403749,18,18,0,0,0,18,18
331,EH-080,EH-080,San Diego Bay,San Diego Bay,Other San Diego Beaches,1,32.675214456,-117.16818134,110,0,110,110,0,0,0
331,EH-080,EH-080,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.675214456,-117.16818134,6,6,0,0,0,6,6
332,EH-090,EH-090,San Diego Bay,San Diego Bay,South Bay / Tijuana River Impact,1,32.63631,-117.1411,95,0,95,95,0,0,0
332,EH-090,EH-090,San Diego Bay,San Diego Bay,South Bay / Tijuana River Impact,2,32.63631,-117.1411,3,3,0,0,0,3,3
335,EH-120,EH-120,San Diego Bay,San Diego Bay,Other San Diego Beaches,1,32.628801978,-117.108093878,82,0,82,82,0,0,0
335,EH-120,EH-120,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.628801978,-117.108093878,7,7,0,0,0,7,7
336,EH-130,EH-130,San Diego Bay,San Diego Bay,Other San Diego Beaches,2,32.651176,-117.105712,21,21,0,0,0,21,21
