output_type,file_name,file_path,exists,file_size_kb,modified_time,paper_role,recommended_for_final_paper,description
figure,figure_7_notebook11_study_area_map.png,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/figures/figure_7_notebook11_study_area_map.png,True,886.95,2026-05-04 14:28:05,Study area context map,Yes,"Shows South Bay census tracts, beach monitoring stations, and H2S monitoring stations."
figure,figure_8_notebook11_beach_closure_intensity_map.png,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/figures/figure_8_notebook11_beach_closure_intensity_map.png,True,929.17,2026-05-04 14:32:02,County/coastal beach closure context map,Optional,Shows beach closure intensity across the larger monitoring network.
figure,figure_8c_notebook11_zoomed_south_bay_closure_intensity_categories_map.png,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/figures/figure_8c_notebook11_zoomed_south_bay_closure_intensity_categories_map.png,True,1007.59,2026-05-04 14:50:59,Zoomed South Bay closure intensity map,Yes,Shows South Bay beach monitoring stations colored by active closure record-day category.
figure,figure_9_notebook11_h2s_station_pattern_map_no_community_labels.png,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/figures/figure_9_notebook11_h2s_station_pattern_map_no_community_labels.png,True,369.49,2026-05-04 15:14:33,H2S station pattern map,Yes,"Shows H2S monitoring stations, H2S events at or above 30 ppb, and maximum observed H2S levels."
figure,figure_10_notebook11_monitoring_context_h2s_proximity_high_closure_beaches.png,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/figures/figure_10_notebook11_monitoring_context_h2s_proximity_high_closure_beaches.png,True,858.83,2026-05-04 15:25:32,Monitoring context and community proximity map,Yes,Shows tract-centroid proximity to nearest H2S station and high-closure beach stations.
table,notebook11_beach_station_map_summary.csv,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/tables/notebook11_beach_station_map_summary.csv,True,16.84,2026-05-04 14:13:50,Beach station summary table,Supporting,Station-level beach closure/advisory summary used for map creation.
table,notebook11_h2s_station_map_summary.csv,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/tables/notebook11_h2s_station_map_summary.csv,True,0.5,2026-05-04 14:13:50,H2S station summary table,Supporting,Station-level H2S event and weather summary used for map creation.
table,notebook11_zoomed_south_bay_top3_closure_stations.csv,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/tables/notebook11_zoomed_south_bay_top3_closure_stations.csv,True,0.92,2026-05-04 14:50:59,Top closure stations table,Supporting,Top South Bay beach stations by active closure record-days.
table,notebook11_h2s_station_pattern_summary.csv,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/tables/notebook11_h2s_station_pattern_summary.csv,True,0.43,2026-05-04 15:14:33,H2S station pattern summary,Supporting,"Summary table for H2S events, maximum H2S, mean H2S, wind speed, and visibility."
table,notebook11_community_proximity_monitoring_context_summary.csv,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/tables/notebook11_community_proximity_monitoring_context_summary.csv,True,12.32,2026-05-04 15:25:32,Tract-level proximity summary,Supporting,Tract-level distances to nearest H2S station and top closure beach station.
table,notebook11_h2s_proximity_tract_count_summary.csv,/content/gdrive_maps/MyDrive/STAT596/Project596_datafiles/tables/notebook11_h2s_proximity_tract_count_summary.csv,True,0.39,2026-05-04 15:25:32,Tract-count summary by H2S proximity,Yes or Supporting,Counts census tracts by distance category to nearest H2S monitoring station.
